Date,Open,High,Low,Close,Adj Close,Volume
2022-12-07 00:00:00-05:00,88.33999633789062,89.88999938964844,87.4800033569336,88.45999908447266,88.45999908447266,68086900
2022-12-08 00:00:00-05:00,89.23999786376953,90.86000061035156,87.87999725341797,90.3499984741211,90.3499984741211,73305900
2022-12-09 00:00:00-05:00,88.9000015258789,90.30000305175781,88.62999725341797,89.08999633789062,89.08999633789062,67398500
2022-12-12 00:00:00-05:00,89.20999908447266,90.58000183105469,87.87000274658203,90.55000305175781,90.55000305175781,61999800
2022-12-13 00:00:00-05:00,95.2300033569336,96.25,90.5199966430664,92.48999786376953,92.48999786376953,100212000
2022-12-14 00:00:00-05:00,92.5,93.45999908447266,89.87000274658203,91.58000183105469,91.58000183105469,70298000
2022-12-15 00:00:00-05:00,89.88999938964844,89.97000122070312,87.47000122070312,88.44999694824219,88.44999694824219,84802900
2022-12-16 00:00:00-05:00,88.2699966430664,89.3499984741211,86.7300033569336,87.86000061035156,87.86000061035156,146144100
2022-12-19 00:00:00-05:00,87.51000213623047,87.62999725341797,84.51000213623047,84.91999816894531,84.91999816894531,83531500
2022-12-20 00:00:00-05:00,85.33000183105469,86.61000061035156,84.33000183105469,85.19000244140625,85.19000244140625,74348300
2022-12-21 00:00:00-05:00,86.18000030517578,87.2300033569336,85.20999908447266,86.7699966430664,86.7699966430664,59267200
2022-12-22 00:00:00-05:00,85.5199966430664,85.68000030517578,82.25,83.79000091552734,83.79000091552734,81431300
2022-12-23 00:00:00-05:00,83.25,85.77999877929688,82.93000030517578,85.25,85.25,57433700
2022-12-27 00:00:00-05:00,84.97000122070312,85.3499984741211,83.0,83.04000091552734,83.04000091552734,57284000
2022-12-28 00:00:00-05:00,82.80000305175781,83.4800033569336,81.69000244140625,81.81999969482422,81.81999969482422,58228600
2022-12-29 00:00:00-05:00,82.87000274658203,84.55000305175781,82.55000305175781,84.18000030517578,84.18000030517578,54995900
2022-12-30 00:00:00-05:00,83.12000274658203,84.05000305175781,82.47000122070312,84.0,84.0,62330000
2023-01-03 00:00:00-05:00,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,85.81999969482422,76706000
2023-01-04 00:00:00-05:00,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,85.13999938964844,68885100
2023-01-05 00:00:00-05:00,85.33000183105469,85.41999816894531,83.06999969482422,83.12000274658203,83.12000274658203,67930800
2023-01-06 00:00:00-05:00,83.02999877929688,86.4000015258789,81.43000030517578,86.08000183105469,86.08000183105469,83219100
2023-01-09 00:00:00-05:00,87.45999908447266,89.4800033569336,87.08000183105469,87.36000061035156,87.36000061035156,65266100
2023-01-10 00:00:00-05:00,87.56999969482422,90.19000244140625,87.29000091552734,89.87000274658203,89.87000274658203,67756600
2023-01-11 00:00:00-05:00,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,95.08999633789062,103126200
2023-01-12 00:00:00-05:00,96.93000030517578,97.19000244140625,93.5,95.2699966430664,95.2699966430664,85254800
2023-01-13 00:00:00-05:00,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,98.12000274658203,85413600
2023-01-17 00:00:00-05:00,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,96.05000305175781,72755000
2023-01-18 00:00:00-05:00,97.25,99.31999969482422,95.37999725341797,95.45999908447266,95.45999908447266,79570400
2023-01-19 00:00:00-05:00,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,93.68000030517578,69002700
2023-01-20 00:00:00-05:00,93.86000061035156,97.3499984741211,93.19999694824219,97.25,97.25,67307100
2023-01-23 00:00:00-05:00,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,97.5199966430664,76501100
2023-01-24 00:00:00-05:00,96.93000030517578,98.08999633789062,96.0,96.31999969482422,96.31999969482422,66929500
2023-01-25 00:00:00-05:00,92.55999755859375,97.23999786376953,91.5199966430664,97.18000030517578,97.18000030517578,94261600
2023-01-26 00:00:00-05:00,98.23999786376953,99.48999786376953,96.91999816894531,99.22000122070312,99.22000122070312,68523600
2023-01-27 00:00:00-05:00,99.52999877929688,103.48999786376953,99.52999877929688,102.23999786376953,102.23999786376953,87678100
2023-01-30 00:00:00-05:00,101.08999633789062,101.73999786376953,99.01000213623047,100.55000305175781,100.55000305175781,70691900
2023-01-31 00:00:00-05:00,101.16000366210938,103.3499984741211,101.13999938964844,103.12999725341797,103.12999725341797,66527300
2023-02-01 00:00:00-05:00,102.52999877929688,106.23999786376953,101.23999786376953,105.1500015258789,105.1500015258789,80450100
2023-02-02 00:00:00-05:00,110.25,114.0,108.87999725341797,112.91000366210938,112.91000366210938,158154200
2023-02-03 00:00:00-05:00,105.26000213623047,108.77999877929688,102.5199966430664,103.38999938964844,103.38999938964844,144173400
2023-02-06 00:00:00-05:00,102.93000030517578,103.94999694824219,100.6500015258789,102.18000030517578,102.18000030517578,81945200
2023-02-07 00:00:00-05:00,101.16999816894531,102.41000366210938,98.08000183105469,102.11000061035156,102.11000061035156,119501300
2023-02-08 00:00:00-05:00,102.04000091552734,102.66999816894531,98.77999877929688,100.05000305175781,100.05000305175781,75751100
2023-02-09 00:00:00-05:00,101.31999969482422,101.77999877929688,98.5,98.73500061035156,98.73500061035156,41321622
